id,title,image
1,CЄ сертифІкат,advantages/pic1.jpg
2,Сертифіковано в Україні,advantages/pic2.jpg
3,SRC опір ковзанню,advantages/pic3.jpg
4,SRA опір ковзанню,advantages/pic4.jpg
5,Захисто носка підошви,advantages/pic5.jpg
6,Захист носка,advantages/pic6.jpg
7,100% водонепроникні,advantages/pic7.jpg
9,Холодоізоляція,advantages/pic8.jpg
10,Маслостійкість,advantages/pic9.jpg
11,Хімічна стійкість,advantages/pic10.jpg
12,Енерго полглинання,advantages/pic11.jpg
13,Антистатичний,advantages/pic12.jpg
14,Підвищений комфорт,advantages/pic13.jpg
15,Зручне прилягання,advantages/pic14.jpg
17,Захист від порізів,advantages/pic15.jpg
