id,product,feature,feature_value
7,9,2,1
8,9,3,2
9,9,9,52
10,9,7,5
12,9,8,6
13,9,4,3
14,9,5,3
15,9,10,8
16,9,11,9
17,9,12,9
18,9,13,9
19,9,14,9
20,9,15,9
21,9,16,9
22,9,17,10
25,8,2,12
26,8,3,13
27,8,9,15
28,8,21,17
29,8,4,14
30,8,5,14
31,8,7,5
32,8,19,16
33,8,20,16
35,8,11,18
36,8,22,19
37,8,13,18
38,8,12,18
39,8,14,9
40,8,15,18
41,8,16,9
43,8,10,21
44,8,17,20
45,10,2,22
46,10,3,2
47,10,4,23
48,10,5,14
49,10,7,24
50,10,5,6
51,10,9,15
52,10,10,21
53,10,11,9
54,10,13,9
55,10,14,9
56,10,15,9
57,10,12,9
59,10,17,20
60,3,2,25
61,3,3,2
62,3,4,23
63,3,5,14
64,3,7,24
65,3,8,6
66,3,9,15
67,3,10,21
68,3,11,9
69,3,13,9
70,3,14,9
71,3,15,9
72,3,12,9
73,3,17,20
74,11,2,26
75,11,3,13
76,11,9,27
77,11,21,29
78,11,7,5
79,11,4,3
80,11,5,3
81,11,11,18
82,11,13,18
83,11,14,9
84,11,15,18
85,11,16,9
86,11,19,16
87,11,20,16
88,11,10,28
89,11,22,9
90,11,17,10
91,7,2,30
92,7,3,13
93,7,9,31
94,7,21,29
95,7,7,6
96,7,8,6
97,7,4,3
98,7,5,3
99,7,11,18
100,7,13,18
101,7,14,9
102,7,15,18
103,7,16,9
104,7,19,16
105,7,20,16
106,7,10,28
107,7,22,9
108,7,17,10
109,12,2,32
110,12,3,2
111,12,9,31
112,12,10,8
113,12,4,3
114,12,5,3
115,12,7,6
116,12,8,6
117,12,11,9
118,12,12,9
119,12,13,9
120,12,14,9
121,12,22,9
122,12,17,10
123,6,2,1
124,6,3,2
125,6,9,7
126,6,10,8
127,6,7,5
128,6,8,6
129,6,4,3
130,6,5,3
131,6,11,9
132,6,12,9
133,6,13,9
134,6,14,9
135,6,22,9
136,6,17,10
137,5,2,33
138,5,3,2
139,5,9,34
140,5,21,17
141,5,4,14
142,5,5,14
143,5,7,5
144,5,8,6
145,5,10,21
146,5,22,19
147,5,13,18
148,5,12,18
149,5,11,18
150,5,14,9
151,5,15,18
152,5,16,9
153,5,17,10
154,13,2,32
155,13,3,2
156,13,9,31
157,13,10,8
158,13,4,3
159,13,5,3
160,13,7,6
161,13,11,9
162,13,12,9
163,13,13,9
164,13,14,9
165,13,22,9
166,13,17,10
167,14,2,35
168,14,3,2
169,14,9,53
170,14,10,8
171,14,4,3
172,14,5,3
173,14,7,5
174,14,8,6
175,14,11,9
176,14,12,9
177,14,13,9
178,14,14,9
179,14,22,9
180,14,17,10
181,15,2,35
182,15,3,2
183,15,9,36
184,15,10,8
185,15,4,3
186,15,5,3
187,15,7,5
188,15,8,6
189,15,11,9
190,15,12,9
191,15,13,9
192,15,22,9
193,15,17,10
194,17,2,33
195,17,3,2
196,17,9,34
197,17,22,19
198,17,4,14
199,17,5,14
200,17,21,17
201,17,10,21
202,17,13,18
203,17,12,18
204,17,11,18
205,17,14,9
206,17,15,18
207,17,7,5
208,17,8,6
209,17,17,10
210,16,2,37
211,16,3,2
212,16,9,7
213,16,22,38
214,16,4,3
215,16,5,3
216,16,10,8
217,16,11,9
218,16,12,9
219,16,13,9
220,16,15,9
221,16,7,5
222,16,8,6
223,16,17,10
224,21,2,39
225,21,3,40
226,21,9,41
227,21,22,38
228,21,4,3
229,21,5,3
230,21,15,9
231,21,10,8
232,21,17,10
233,22,2,43
234,22,3,40
235,22,9,41
236,22,22,38
237,22,4,3
238,22,8,3
239,22,10,8
240,22,15,9
241,22,17,10
242,23,2,44
243,23,3,40
244,23,9,41
245,23,22,38
246,23,7,3
247,23,5,3
248,23,10,8
249,23,15,9
250,23,17,10
251,11,22,9
252,11,17,10
253,24,2,45
254,24,3,13
255,24,9,46
256,24,21,29
257,24,7,47
258,24,4,3
259,24,5,3
260,24,11,18
261,24,13,18
262,24,19,16
263,24,20,16
264,24,10,28
265,24,22,9
266,24,17,10
267,25,2,48
268,25,3,13
269,25,9,49
270,25,21,17
271,25,4,50
272,25,5,50
273,25,7,5
274,25,19,16
275,25,20,16
276,25,11,18
277,25,22,9
278,25,13,18
279,25,12,18
280,25,15,18
281,25,17,10
282,26,2,51
283,26,3,2
284,26,9,46
285,26,21,17
286,26,4,50
287,26,5,50
288,26,7,5
289,26,11,18
290,26,22,9
291,26,12,18
292,26,15,18
293,26,17,10
294,27,2,55
295,28,2,54
